Job ID,Job Title,Location,Key Skills,Job Salary,Apply Link,Description
JOB-2000,Data Scientist,Pune,"PyTorch, AWS, Langchain, SQL, Vector Databases",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Pune. Must be proficient in PyTorch and AWS.
JOB-2001,MLOps Engineer,Chennai,"Docker, RAG, Node.Js, Python, PyTorch, Git",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Chennai. Must be proficient in Docker and RAG.
JOB-2002,AI Product Manager,Chandigarh,"Streamlit, OpenAI, Node.Js, SQL",Competitive,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Chandigarh. Must be proficient in Streamlit and OpenAI.
JOB-2003,Cloud Architect,Pune,"React, Node.Js, NLP, Machine Learning, PyTorch, Vector Databases",Competitive,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Pune. Must be proficient in React and Node.Js.
JOB-2004,Backend Engineer,Remote,"PyTorch, RAG, SQL, Streamlit, Python, Docker",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Remote. Must be proficient in PyTorch and RAG.
JOB-2005,Prompt Engineer,Remote,"Python, OpenAI, Langchain, Prompt Engineering, Docker",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Remote. Must be proficient in Python and OpenAI.
JOB-2006,Machine Learning Engineer,Gurgaon,"AWS, Vector Databases, Docker, Power BI",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Gurgaon. Must be proficient in AWS and Vector Databases.
JOB-2007,Backend Engineer,Chandigarh,"RAG, Vector Databases, OpenAI, Python, Langchain, React, Django",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Chandigarh. Must be proficient in RAG and Vector Databases.
JOB-2008,Data Analyst,Hyderabad,"SQL, NLP, Python, Vector Databases, OpenAI, PyTorch",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Hyderabad. Must be proficient in SQL and NLP.
JOB-2009,Python Developer,Remote,"PyTorch, Streamlit, OpenAI, Power BI, Kubernetes, TensorFlow",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Python%20Developer&location=India,Seeking a skilled Python Developer based in Remote. Must be proficient in PyTorch and Streamlit.
JOB-2010,MLOps Engineer,Chennai,"Node.Js, Python, AWS, Power BI, Streamlit",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Chennai. Must be proficient in Node.Js and Python.
JOB-2011,NLP Specialist,Pune,"AWS, Python, Django, Docker",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Pune. Must be proficient in AWS and Python.
JOB-2012,Python Developer,Remote,"Vector Databases, AWS, Prompt Engineering, SQL",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Python%20Developer&location=India,Seeking a skilled Python Developer based in Remote. Must be proficient in Vector Databases and AWS.
JOB-2013,AI Product Manager,Delhi NCR,"React, AWS, Python, TensorFlow, Machine Learning",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Delhi NCR. Must be proficient in React and AWS.
JOB-2014,Data Analyst,Remote,"Python, Node.Js, Streamlit, Deep Learning, Django",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Remote. Must be proficient in Python and Node.Js.
JOB-2015,AI Solutions Architect,Chandigarh,"Langchain, Streamlit, Python, Prompt Engineering",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Chandigarh. Must be proficient in Langchain and Streamlit.
JOB-2016,NLP Specialist,Remote,"Docker, SQL, AWS, Power BI, PyTorch",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Remote. Must be proficient in Docker and SQL.
JOB-2017,MLOps Engineer,Gurgaon,"PyTorch, Power BI, Kubernetes, Git, TensorFlow",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Gurgaon. Must be proficient in PyTorch and Power BI.
JOB-2018,MLOps Engineer,Bengaluru,"Power BI, SQL, PyTorch, Docker",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Bengaluru. Must be proficient in Power BI and SQL.
JOB-2019,AI Product Manager,Hyderabad,"Django, Docker, TensorFlow, Streamlit, Langchain, React, NLP",Competitive,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Hyderabad. Must be proficient in Django and Docker.
